eigenvector_rank,bit_index,bit_loading,fragment_smiles,motif,n_bit1,n_bit0,x_motif_bit1,x_motif_bit0,p_motif_bit1,p_motif_bit0,log2_enrichment,z,p_two_sided
3,1921,0.10074393419320891,,hydroxyl,96,2904,87,957,0.9062500000009766,0.3295454545456854,1.4594316186378413,11.67113922449501,0.0
3,1487,0.09336249349639213,,hydroxyl,112,2888,90,954,0.8035714285731824,0.33033240997253105,1.282507745155866,10.316065801346046,0.0
3,610,0.06581476523829533,,hydroxyl,62,2938,55,989,0.8870967741953694,0.33662355343793854,1.3979553729369472,9.00500357726875,0.0
3,1436,-0.1370538581898388,,aromatic_ring,62,2938,8,1936,0.129032258078564,0.6589516678013414,-2.3524408669483763,-8.64593777260567,0.0
3,1738,-0.0860476963535523,,carbonyl,218,2782,172,1368,0.7889908256890413,0.49173256649910435,0.6821346195827466,8.45599229972049,0.0
3,529,-0.11148790082250874,,aromatic_ring,54,2946,6,1938,0.11111111112757202,0.6578411405296477,-2.5657361416080664,-8.336172972862675,0.0
3,519,-0.13543936931256859,,hydroxyl,107,2893,76,968,0.7102803738344834,0.3346007604565038,1.0859478977019517,8.011423439621186,1.1102230246251565e-15
3,1323,0.10960280267093916,,hydroxyl,55,2945,47,997,0.8545454545480992,0.33853989813265245,1.3358313624761127,7.9598397651649515,1.7763568394002505e-15
3,519,-0.13543936931256859,,aromatic_ring,107,2893,32,1912,0.2990654205672984,0.6609056342897819,-1.1439831864209509,-7.695971928099766,1.3988810110276972e-14
3,84,-0.13900181183511967,,aromatic_ring,80,2920,20,1924,0.250000000009375,0.6589041095891579,-1.3981404299488172,-7.555068955671902,4.1744385725905886e-14
3,1436,-0.1370538581898388,,ester,62,2938,34,547,0.5483870967814776,0.18618107556188354,1.5584881886442037,7.142200422614333,9.183764859699295e-13
3,2021,-0.11933142776141066,,heteroaromatic_ring,58,2942,35,631,0.603448275868906,0.21447994561549474,1.492387358104225,7.058666453521511,1.681099703887412e-12
3,1997,-0.13359708378655663,,ester,40,2960,25,556,0.6250000000093751,0.18783783783811223,1.7343684826997001,6.949811789433168,3.657740776930041e-12
3,182,-0.131405289631996,,sulfonamide,51,2949,11,97,0.21568627452518263,0.03289250593454293,2.7131035416288927,6.947578559028469,3.716138508025324e-12
3,84,-0.13900181183511967,,hydroxyl,80,2920,57,987,0.7125000000035937,0.3380136986303637,1.0758082985946704,6.937425110483662,3.993250174971763e-12
3,1950,0.09827927976125661,,ester,62,2938,33,548,0.5322580645236732,0.1865214431588882,1.5127844065856382,6.817446697617471,9.267253631151107e-12
3,622,-0.11013813813618928,,ester,80,2920,39,542,0.4875000000064062,0.1856164383564433,1.3930777364051847,6.741095990949785,1.571964780566759e-11
3,622,-0.11013813813618928,,hydroxyl,80,2920,56,988,0.70000000000375,0.33835616438378824,1.0488122493597063,6.699516156077499,2.0911050668814823e-11
3,1223,-0.07978860830811424,,ester,25,2975,18,563,0.7200000000112,0.18924369747926412,1.9277516526903906,6.687492012266895,2.27027285859549e-11
3,1950,0.09827927976125661,,hydroxyl,62,2938,46,998,0.7419354838751301,0.33968686181098035,1.1270883208962963,6.580247946721276,4.696643074453277e-11
3,84,-0.13900181183511967,,carbonyl,80,2920,70,1470,0.8750000000015625,0.5034246575344167,0.7975071361033457,6.560049931593515,5.3789861453878984e-11
3,519,-0.13543936931256859,,ester,107,2893,47,534,0.4392523364538387,0.18458347735942462,1.2507765415335454,6.5463101188812844,5.897593524650802e-11
3,750,0.06867852431879438,,ester,83,2917,39,542,0.46987951807867606,0.18580733630470148,1.3384834170770723,6.457889276151588,1.0617329238016282e-10
3,1938,-0.1199251247089673,,hydroxyl,27,2973,25,1019,0.9259259259286694,0.34275142953267984,1.433734099356431,6.332917238145731,2.4056867609090204e-10
3,1436,-0.1370538581898388,,hydroxyl,62,2938,45,999,0.7258064516173257,0.340027229407985,1.0939345987144986,6.310830654438225,2.7754176734617886e-10
3,1381,0.11437692598925427,,hydroxyl,50,2950,38,1006,0.7600000000048,0.34101694915276576,1.1561559730080664,6.16763149836004,6.93204604829134e-10
3,84,-0.13900181183511967,,ester,80,2920,37,544,0.4625000000067187,0.18630136986329235,1.3118150832774276,6.1675484023834395,6.935687579812111e-10
3,206,0.07105977498060655,,ester,23,2977,16,565,0.695652173926276,0.1897883775615755,1.8739744929038469,6.115635053267039,9.617320273491714e-10
3,722,0.10905673372658299,,hydroxyl,38,2962,31,1013,0.8157894736890583,0.3419986495613295,1.2542062634386353,6.092519441562131,1.1114733577954894e-09
3,1436,-0.1370538581898388,,carbonyl,62,2938,55,1485,0.8870967741953694,0.5054458815522446,0.811534868008417,5.949930077571975,2.6825706100908064e-09
3,1509,0.10389044731199808,,ester,29,2971,18,563,0.6206896551854935,0.18949848535873798,1.7116857840982498,5.84756166558926,4.988309321163342e-09
3,787,-0.088416335296489,,heteroaromatic_ring,63,2937,33,633,0.5238095238170823,0.21552604698698824,1.281180056774077,5.825666018896686,5.688527870972848e-09
3,1938,-0.1199251247089673,,ester,27,2973,17,564,0.629629629643347,0.18970736629694257,1.7307277346250802,5.758507074590552,8.486111147121278e-09
3,529,-0.11148790082250874,,ester,54,2946,27,554,0.5000000000092593,0.18805159538384655,1.410799549011263,5.7484485282133635,9.006605461436834e-09
3,622,-0.11013813813618928,,aromatic_ring,80,2920,28,1916,0.350000000008125,0.6561643835617615,-0.9067023647653268,-5.656810424096048,1.5421193433340363e-08
3,408,-0.11220625305452842,,hydroxyl,44,2956,33,1011,0.7500000000056818,0.34201623815989785,1.132825772974283,5.639588080772114,1.7045744149513098e-08
3,722,0.10905673372658299,,ester,38,2962,21,560,0.5526315789591413,0.18906144496988891,1.5474628177077008,5.6354312069899795,1.7462084223041074e-08
3,529,-0.11148790082250874,,hydroxyl,54,2946,38,1006,0.7037037037091907,0.3414799728447585,1.0431671365207438,5.537530144631546,3.0676690743192125e-08
3,622,-0.11013813813618928,,carbonyl,80,2920,65,1475,0.8125000000023438,0.5051369863015394,0.6856931327755833,5.426400749866526,5.7501775341251005e-08
3,519,-0.13543936931256859,,carbonyl,107,2893,82,1458,0.7663551401890994,0.5039751123403028,0.6046606218232191,5.3323754285385965,9.693626612516937e-08
3,1176,0.06334024621044775,,hydroxyl,20,2980,18,1026,0.900000000005,0.34429530201364283,1.386278506304513,5.199877961028118,1.9941941875600833e-07
3,1885,0.07845738409093231,,ester,20,2980,13,568,0.6500000000175,0.19060402684590919,1.7698611191353577,5.181612609559691,2.1997571786336323e-07
3,967,-0.11983482706460011,,hydroxyl,32,2968,25,1019,0.781250000006836,0.34332884097057165,1.1861932302414082,5.17283731070023,2.3056575515489897e-07
3,1381,0.11437692598925427,,ester,50,2950,24,557,0.48000000001040005,0.18881355932230887,1.3460720327721234,5.166801595248848,2.3813381000437062e-07
3,1176,0.06334024621044775,,heteroaromatic_ring,20,2980,14,652,0.700000000015,0.218791946308987,1.6777952883178744,5.160943493304423,2.4570834300519095e-07
3,687,0.06927321214810164,,heteroaromatic_ring,64,2936,31,635,0.4843750000080566,0.21628065395122062,1.1632197815927756,5.105388015862505,3.3011643707503424e-07
3,1323,0.10960280267093916,,aromatic_ring,55,2945,18,1926,0.3272727272849587,0.6539898132429018,-0.9987747811543236,-5.026623753391947,4.991903883588833e-07
3,529,-0.11148790082250874,,carbonyl,54,2946,46,1494,0.8518518518545953,0.5071283095724687,0.7482517361443269,5.02236224951018,5.103980176279777e-07
3,1009,-0.10985795461706226,,carbonyl,34,2966,32,1508,0.9411764705899653,0.5084288604182372,0.8884193279378084,5.019766883422204,5.173422321647081e-07
3,2021,-0.11933142776141066,,ester,58,2942,26,555,0.448275862078478,0.1886471787902146,1.2486962930593872,4.95498824774151,7.233466110534437e-07
3,1323,0.10960280267093916,,ester,55,2945,25,556,0.45454545455537193,0.18879456706309378,1.267607322273753,4.941437933632889,7.754850361862964e-07
3,1884,-0.0862633475994627,,ester,43,2957,21,560,0.48837209303515416,0.1893811295234395,1.3666881792850805,4.925752424047646,8.403634588205477e-07
3,1223,-0.07978860830811424,,carbonyl,25,2975,25,1515,1.0,0.5092436974791565,0.9735718747218877,4.888810620040476,1.01447028866275e-06
