eigenvector_rank,bit_index,bit_loading,fragment_smiles,motif,n_bit1,n_bit0,x_motif_bit1,x_motif_bit0,p_motif_bit1,p_motif_bit0,log2_enrichment,z,p_two_sided
2,935,0.10633271952367454,,heteroaromatic_ring,567,2433,316,350,0.5573192239866714,0.1438553226472898,1.953885316339467,21.334048056727873,0.0
2,1257,-0.058260500708221474,,hydroxyl,219,2781,189,855,0.8630136986307625,0.3074433656960419,1.489062784193203,16.61833660290735,0.0
2,935,0.10633271952367454,,amide,567,2433,228,326,0.4021164021174566,0.13399095766578956,1.585477539929815,14.81760904576901,0.0
2,935,0.10633271952367454,,aromatic_ring,567,2433,515,1429,0.9082892416227367,0.5873407316072391,0.628954100970805,14.410481284335079,0.0
2,1567,0.11571015834321444,,heteroaromatic_ring,44,2956,42,624,0.9545454545464876,0.21109607577834535,2.176914139425103,11.778854114468231,0.0
2,591,-0.04562764499823917,,aromatic_ring,279,2721,92,1852,0.3297491039450547,0.6806321205440351,-1.0455064977724706,-11.687167235486545,0.0
2,1154,-0.05627324526532914,,hydroxyl,82,2918,78,966,0.9512195121957169,0.3310486634683581,1.5227350033261857,11.627513998627263,0.0
2,5,0.12419711191547111,,amide,48,2952,39,515,0.8125000000039062,0.17445799458022546,2.219488102135531,11.300706230659193,0.0
2,1274,-0.05804172023720735,,nitro,289,2711,48,79,0.16608996540080936,0.029140538547019867,2.5108654678884204,10.991699659300862,0.0
2,233,0.12454097180161615,,amide,47,2953,33,521,0.7021276595808058,0.1764307483917452,1.992631346547004,9.21496301228384,0.0
2,679,-0.06490241720362314,,hydroxyl,97,2903,75,969,0.773195876290998,0.3337926283157651,1.211881849523705,8.93714081202671,0.0
2,1436,-0.08286886674135992,,aromatic_ring,62,2938,8,1936,0.129032258078564,0.6589516678013414,-2.3524408669483763,-8.64593777260567,0.0
2,1257,-0.058260500708221474,,aromatic_ring,219,2781,85,1859,0.3881278538840725,0.6684645810860596,-0.7843191490261382,-8.363404240505666,0.0
2,529,-0.0764683645032135,,aromatic_ring,54,2946,6,1938,0.11111111112757202,0.6578411405296477,-2.5657361416080664,-8.336172972862675,0.0
2,998,0.1480207223756818,,amide,24,2976,20,534,0.8333333333402778,0.17943548387124347,2.2154284735964893,8.22260659052295,2.220446049250313e-16
2,552,0.1205537125900897,,heteroaromatic_ring,32,2968,26,640,0.8125000000058594,0.21563342318085726,1.9137869998831691,8.080854449911584,6.661338147750939e-16
2,519,-0.09252313944323509,,hydroxyl,107,2893,76,968,0.7102803738344834,0.3346007604565038,1.0859478977019517,8.011423439621186,1.1102230246251565e-15
2,519,-0.09252313944323509,,aromatic_ring,107,2893,32,1912,0.2990654205672984,0.6609056342897819,-1.1439831864209509,-7.695971928099766,1.3988810110276972e-14
2,679,-0.06490241720362314,,ester,97,2903,48,533,0.49484536082995,0.1836031691356584,1.4303867924144875,7.630666567618425,2.3314683517128287e-14
2,84,-0.07824481965200898,,aromatic_ring,80,2920,20,1924,0.250000000009375,0.6589041095891579,-1.3981404299488172,-7.555068955671902,4.1744385725905886e-14
2,1162,-0.05228469646256894,,carbonyl,198,2802,152,1388,0.767676767677941,0.4953604568167397,0.6320202812182137,7.409077790212728,1.2723155862204294e-13
2,1441,0.10748088194344159,,amide,50,2950,29,525,0.5800000000084,0.17796610169519392,1.7044504319545637,7.265009756251242,3.730349362740526e-13
2,1436,-0.08286886674135992,,ester,62,2938,34,547,0.5483870967814776,0.18618107556188354,1.5584881886442037,7.142200422614333,9.183764859699295e-13
2,698,0.1428178331866204,,amide,20,2980,16,538,0.80000000001,0.18053691275195283,2.1477061579213736,7.115674625595076,1.113775738303957e-12
