eigenvector_rank,bit_index,bit_loading,fragment_smiles,motif,n_bit1,n_bit0,x_motif_bit1,x_motif_bit0,p_motif_bit1,p_motif_bit0,log2_enrichment,z,p_two_sided
1,1963,0.015539898274666111,,nitro,132,2868,127,0,0.9621212121214991,3.4867503486738193e-13,41.32747273010281,53.678118252020866,0.0
1,838,0.016785843088536492,,nitro,137,2863,127,0,0.9270072992706059,3.49283967865753e-13,41.27131741279859,52.64353753647794,0.0
1,1195,0.016487653190483512,,nitro,124,2876,109,18,0.8790322580654917,0.006258692628996433,7.13391097330899,47.26044658867741,0.0
1,1750,0.010465407138338576,,aromatic_ring,1613,1387,1612,332,0.9993800371977685,0.23936553713104589,2.061817946345698,43.456808707073215,0.0
1,1683,0.01415132186698327,,halogen,488,2512,468,257,0.959016393442707,0.10230891719780959,3.2286235817133546,40.45323049293416,0.0
1,1809,0.011574138797704065,,nitro,56,2944,48,79,0.8571428571454082,0.026834239130765342,4.997388786529984,30.569857609040533,0.0
1,1814,0.011410946663592434,,nitro,35,2965,32,95,0.9142857142881633,0.03204047217570589,4.834677764146616,25.77072578508686,0.0
1,1940,0.01025114390140831,,nitro,34,2966,27,100,0.794117647064879,0.033715441672611694,4.557871353590095,21.895726191151972,0.0
1,1257,-0.12799094288627924,,hydroxyl,219,2781,189,855,0.8630136986307625,0.3074433656960419,1.489062784193203,16.61833660290735,0.0
1,314,-0.11273603591505715,,carbonyl,497,2503,419,1121,0.8430583501009195,0.4478625649223141,0.9125764050198004,16.100700161469593,0.0
1,769,0.00855773980541337,,nitro,23,2977,16,111,0.695652173926276,0.03728585824688032,4.221665683845847,15.62111004886991,0.0
1,13,0.0150252803445777,,ester,251,2749,126,455,0.501992031874494,0.16551473263035085,1.6007048259790952,12.913222290372762,0.0
1,1734,0.008338196929137353,,ester,72,2928,54,527,0.7500000000034721,0.17998633879809425,2.059003187372418,12.091820057943501,0.0
1,591,0.013134620158176418,,aromatic_ring,279,2721,92,1852,0.3297491039450547,0.6806321205440351,-1.0455064977724706,-11.687167235486545,0.0
1,794,0.021693591410722846,,aromatic_ring,360,2640,134,1810,0.372222222223966,0.6856060606061797,-0.881215673590146,-11.679126094601173,0.0
1,1921,-0.11201858212618343,,hydroxyl,96,2904,87,957,0.9062500000009766,0.3295454545456854,1.4594316186378413,11.67113922449501,0.0
1,1154,-0.12119471174333198,,hydroxyl,82,2918,78,966,0.9512195121957169,0.3310486634683581,1.5227350033261857,11.627513998627263,0.0
1,1060,-0.13182607378103134,,carbonyl,386,2614,302,1238,0.782383419689683,0.47360367253271857,0.7241955286385933,11.329717738541293,0.0
1,314,-0.11273603591505715,,amide,497,2503,179,375,0.360160965796056,0.14982021574145032,1.265409526008945,11.03848714074656,0.0
1,1274,-0.10784810965464221,,nitro,289,2711,48,79,0.16608996540080936,0.029140538547019867,2.5108654678884204,10.991699659300862,0.0
1,691,0.008052411696351588,,sulfonamide,81,2919,21,87,0.2592592592684042,0.029804727646786638,3.120782419582475,10.934673035422527,0.0
1,1750,0.010465407138338576,,heteroaromatic_ring,1613,1387,482,184,0.29882207067619415,0.13266041816933477,1.171548729336207,10.918407618084675,0.0
1,1143,0.023476505450351737,,aromatic_ring,197,2803,58,1886,0.29441624365840396,0.6728505173030065,-1.1924287559541065,-10.750178170184764,0.0
1,1911,0.015667184491761833,,aromatic_ring,453,2547,193,1751,0.4260485651226798,0.6874754613271742,-0.6902903269334849,-10.734810399065667,0.0
1,1444,0.021427049287355036,,aromatic_ring,182,2818,52,1892,0.28571428571821034,0.6713981547197759,-1.2325953990677962,-10.558888443027369,0.0
1,1804,0.012390519641365704,,sulfonamide,48,2952,15,93,0.31250000001432293,0.03150406504097849,3.3102462898908263,10.36641134224098,0.0
1,1487,-0.09996387055595189,,hydroxyl,112,2888,90,954,0.8035714285731824,0.33033240997253105,1.282507745155866,10.316065801346046,0.0
1,679,-0.12866086008866115,,hydroxyl,97,2903,75,969,0.773195876290998,0.3337926283157651,1.211881849523705,8.93714081202671,0.0
1,1019,-0.14164104489747523,,carbonyl,689,2311,455,1085,0.6603773584910589,0.46949372566011704,0.49218477951792805,8.798367831720528,0.0
1,1750,0.010465407138338576,,amide,1613,1387,391,163,0.24240545567312932,0.1175198269653082,1.0445179922392196,8.789120068303953,0.0
1,1436,-0.09309431657457701,,aromatic_ring,62,2938,8,1936,0.129032258078564,0.6589516678013414,-2.3524408669483763,-8.64593777260567,0.0
1,114,0.012129834770010346,,halogen,331,2669,143,582,0.43202416918600595,0.2180591982018666,0.9863921772086461,8.576930412788258,0.0
1,1019,-0.14164104489747523,,hydroxyl,689,2311,332,712,0.4818577648773848,0.3080917351798753,0.6452473721447163,8.404278096526873,0.0
1,1257,-0.12799094288627924,,aromatic_ring,219,2781,85,1859,0.3881278538840725,0.6684645810860596,-0.7843191490261382,-8.363404240505666,0.0
1,314,-0.11273603591505715,,heteroaromatic_ring,497,2503,180,486,0.3621730382306596,0.19416699960080136,0.8993811268526597,8.232023431259801,2.220446049250313e-16
1,656,-0.08929935483808447,,heteroaromatic_ring,409,2591,154,512,0.37652811736093755,0.19760710150552002,0.9301228079368267,8.091514238838592,4.440892098500626e-16
1,1267,0.008739297426354896,,carbonyl,82,2918,78,1462,0.9512195121957169,0.501028101439513,0.9248867862100281,8.04397317822549,8.881784197001252e-16
1,519,-0.10670122517252265,,hydroxyl,107,2893,76,968,0.7102803738344834,0.3346007604565038,1.0859478977019517,8.011423439621186,1.1102230246251565e-15
1,1267,0.008739297426354896,,aromatic_ring,82,2918,19,1925,0.23170731708254014,0.6596984235779096,-1.509503053668151,-8.003221791487713,1.3322676295501878e-15
1,1195,0.016487653190483512,,aromatic_ring,124,2876,122,1822,0.9838709677420655,0.6335187760780133,0.6350817438131587,7.998170538666633,1.3322676295501878e-15
1,1292,-0.11359201196279575,,hydroxyl,180,2820,112,932,0.622222222224321,0.3304964539009466,0.912795128363635,7.966389781002301,1.7763568394002505e-15
1,1323,-0.09909447512643944,,hydroxyl,55,2945,47,997,0.8545454545480992,0.33853989813265245,1.3358313624761127,7.9598397651649515,1.7763568394002505e-15
