eigenvector_rank,bit_index,bit_loading,fragment_smiles,motif,n_bit1,n_bit0,x_motif_bit1,x_motif_bit0,p_motif_bit1,p_motif_bit0,log2_enrichment,z,p_two_sided
5,1911,0.11928035557601092,,heteroaromatic_ring,453,2547,60,606,0.13245033112774293,0.23792697290960427,-0.845067383617427,-4.977290102907574,6.448064393538289e-07
5,352,-0.06002613532778076,,carbonyl,151,2849,107,1433,0.7086092715251087,0.5029835029836774,0.4944792591412021,4.926472646943917,8.37273268050609e-07
5,1750,-0.11327293634480422,,sulfonamide,1613,1387,83,25,0.05145691258583295,0.018024513338847855,1.5134045906999802,4.900863019322602,9.54165701783083e-07
5,80,0.10769194674270757,,hydroxyl,1690,1310,651,393,0.38520710059207974,0.30000000000053434,0.36067179616108785,4.859378640654481,1.1775473711672646e-06
5,875,-0.0917742039544224,,sulfonamide,767,2233,49,59,0.06388526727631827,0.0264218540084969,1.2737515630766625,4.805061957676506,1.547035902937921e-06
5,1380,-0.12610440755762864,,nitro,2130,870,114,13,0.05352112676100774,0.014942528736764434,1.8406841715491993,4.761971840597981,1.9171043867949322e-06
5,1143,0.09271121067169563,,halogen,197,2803,20,705,0.10152284264415472,0.2515162326081871,-1.308847142759396,-4.7535460573838435,1.9987954438249744e-06
5,1564,0.07303400802660721,,hydroxyl,216,2784,107,937,0.49537037037270665,0.3365660919542613,0.5576177424330024,4.720083077048132,2.357483396275839e-06
5,1911,0.11928035557601092,,ester,453,2547,124,457,0.2737306843283141,0.17942677660024364,0.6093619595626248,4.680021946925553,2.868442092962553e-06
5,1199,-0.06050355413181919,,heteroaromatic_ring,789,2211,222,444,0.28136882129368646,0.20081411126223392,0.4866018198048406,4.674088148637623,2.9526250422406974e-06
5,1088,-0.08232661665123817,,carbonyl,1030,1970,589,951,0.5718446601945905,0.4827411167515316,0.24437358524331917,4.636289428742172,3.5471919606067104e-06
5,1143,0.09271121067169563,,ester,197,2803,63,518,0.3197969543181736,0.18480199785972715,0.7911758454027864,4.634648820261391,3.575439368574962e-06
5,1825,-0.0650577224079176,,amide,41,2959,19,535,0.46341463415942896,0.18080432578601527,1.3578744087694488,4.631588090259369,3.6287154423497725e-06
5,531,0.10401580242046868,,hydroxyl,33,2967,24,1020,0.7272727272809918,0.34378159757352755,1.081004155999578,4.599355922687342,4.237991759969972e-06
5,197,0.07089011324750305,,carbonyl,97,2903,72,1468,0.7422680412397704,0.5056837754049239,0.5537047630433121,4.585841945399267,4.521605745821944e-06
5,875,-0.0917742039544224,,amide,767,2233,184,370,0.23989569752380716,0.16569637259329795,0.5338652638629474,4.56898272702141,4.900971668941878e-06
5,699,-0.0646982208147296,,carbonyl,115,2885,83,1457,0.7217391304372023,0.5050259965339671,0.5151198218752284,4.559643628495207,5.124050144189596e-06
5,1928,-0.060980450938365856,,ester,213,2787,16,565,0.07511737089636096,0.2027269465377816,-1.4323193903432196,-4.542512985927112,5.558757111279178e-06
5,378,-0.06150606821004288,,ester,509,2491,62,519,0.12180746562058584,0.2083500602170982,-0.77440695778763,-4.502257118221131,6.723557123500257e-06
5,294,0.09534888873266079,,carbonyl,715,2285,419,1121,0.586013986014565,0.4905908096282317,0.2564148891743748,4.455267975783735,8.378846992229683e-06
5,935,-0.06896169156334016,,sulfonamide,567,2433,38,70,0.06701940035437914,0.02877106452978678,1.2199601765102233,4.402757170517335,1.0688377626077994e-05
5,117,0.08854935720242772,,hydroxyl,54,2946,34,1010,0.6296296296364883,0.342837746096625,0.8769774764983397,4.384358519343844,1.1632805610561903e-05
5,699,-0.0646982208147296,,amide,115,2885,39,515,0.33913043478835536,0.17850953206267642,0.9258391494022828,4.3531277249700056,1.3420890527804374e-05
5,1911,0.11928035557601092,,halogen,453,2547,73,652,0.16114790287160896,0.25598743619974246,-0.6676875911081688,-4.344641090953718,1.3950355822966998e-05
5,294,0.09534888873266079,,nitro,715,2285,10,117,0.013986013987393027,0.05120350109450714,-1.8722576062858094,-4.313542919433404,1.6065893297056988e-05
5,1564,0.07303400802660721,,heteroaromatic_ring,216,2784,23,643,0.10648148148561815,0.23096264367843716,-1.1170569775313535,-4.240706465211911,2.228173708229697e-05
5,173,0.08735937768098594,,amide,20,2980,11,543,0.5500000000225,0.18221476510094556,1.5937917513519442,4.22469089363608,2.3926896220993754e-05
5,531,0.10401580242046868,,carbonyl,33,2967,29,1511,0.878787878791552,0.5092686215033673,0.7870881420901182,4.223540455644481,2.4049417687299623e-05
5,1750,-0.11327293634480422,,nitro,1613,1387,91,36,0.056416615003684806,0.02595529920762368,1.1200909879002687,4.131378900196152,3.605936429784684e-05
5,935,-0.06896169156334016,,carbonyl,567,2433,335,1205,0.5908289241629792,0.49527332511323663,0.25451553422516915,4.0996101758179515,4.138466217229464e-05
5,1911,0.11928035557601092,,nitro,453,2547,3,124,0.006622516558484277,0.04868472713033032,-2.878017804971114,-4.096817524945627,4.1886881651853614e-05
5,378,-0.06150606821004288,,sulfonamide,509,2491,34,74,0.06679764243798271,0.029706945002396748,1.1689969358072119,4.093175442815901,4.255055185975465e-05
5,1750,-0.11327293634480422,,carbonyl,1613,1387,883,657,0.5474271543710183,0.47368421052669524,0.20874141649368028,4.029022791132724,5.600918871917493e-05
5,591,0.09778804305920862,,halogen,279,2721,40,685,0.14336917563031049,0.2517456817349314,-0.8122321535107155,-4.0271929879082125,5.6446700301027164e-05
5,1032,-0.05980380209293732,,amide,27,2973,13,541,0.48148148150068587,0.1819710729905207,1.4037711801138146,3.9927192604815964,6.531988650193554e-05
5,1380,-0.12610440755762864,,sulfonamide,2130,870,95,13,0.0446009389675847,0.014942528736764434,1.5776497657179367,3.956825531567237,7.595236121971105e-05
5,1444,0.08668633143834839,,halogen,182,2818,22,703,0.12087912088395122,0.24946770759430464,-1.0452880042681876,-3.927439783777793,8.585490682477825e-05
5,80,0.10769194674270757,,halogen,1690,1310,363,362,0.21479289940874863,0.27633587786314784,-0.3634765838319522,-3.9053362657602544,9.409445066288491e-05
5,216,-0.05861422378711216,,amide,169,2831,50,504,0.295857988169847,0.17802896503031507,0.7327928639163352,3.8348032150140035,0.0001256648630900692
5,561,-0.06939947147663067,,heteroaromatic_ring,337,2663,102,564,0.30267062314746984,0.21179121291805791,0.5151059216093047,3.7821532360366628,0.00015547759775902392
5,591,0.09778804305920862,,heteroaromatic_ring,279,2721,37,629,0.13261648745830604,0.2311650128632006,-0.8016629117977909,-3.772155520060698,0.00016184332349711283
5,362,0.09855330689425755,,hydroxyl,22,2978,16,1028,0.7272727272851239,0.3451981195435375,1.075071870774597,3.7484162834092114,0.00017795471614334701
5,561,-0.06939947147663067,,amide,337,2663,87,467,0.25816023739092536,0.17536612842689622,0.5578966881775764,3.690434391836591,0.00022387142538504712
5,1143,0.09271121067169563,,heteroaromatic_ring,197,2803,23,643,0.1167512690400165,0.22939707456324315,-0.9744087616411432,-3.677331431816258,0.0002356867260588924
5,115,0.07036708447263022,,aromatic_ring,28,2972,9,1935,0.3214285714528061,0.6510767160162682,-1.0183293709999537,-3.6352525843244963,0.00027770840836227606
5,378,-0.06150606821004288,,hydroxyl,509,2491,142,902,0.2789783889994519,0.3621035728625604,-0.3762490435792528,-3.587602571748681,0.00033373246182000216
5,1088,-0.08232661665123817,,hydroxyl,1030,1970,314,730,0.3048543689327137,0.3705583756348373,-0.2815806126006449,-3.587315155827414,0.00033410041797488077
5,294,0.09534888873266079,,hydroxyl,715,2285,209,835,0.2923076923086821,0.36542669584272847,-0.3220942369970628,-3.5822207079433506,0.0003406857679111308
5,1199,-0.06050355413181919,,carbonyl,789,2211,448,1092,0.5678073510778608,0.4938941655361855,0.20119960094124223,3.565977774411182,0.0003625020945312585
5,875,-0.0917742039544224,,ester,767,2233,115,466,0.1499348109528684,0.208687863860632,-0.47701132538215063,-3.5524429217343454,0.0003816718130433827
5,561,-0.06939947147663067,,ester,337,2663,41,540,0.1216617210708556,0.2027788208790076,-0.7370316603752147,-3.5503206258700524,0.00038476223708405755
5,1564,0.07303400802660721,,halogen,216,2784,31,694,0.1435185185224837,0.24928160919567194,-0.7965395484678272,-3.497812683155215,0.00046909047277332583
5,1143,0.09271121067169563,,amide,197,2803,18,536,0.09137055838024685,0.19122368890503344,-1.065459979368693,-3.4912734497920463,0.0004807239652084849
5,173,0.08735937768098594,,carbonyl,20,2980,18,1522,0.900000000005,0.5107382550337213,0.8173408784084796,3.4712723905334304,0.0005179982591649868
5,352,-0.06002613532778076,,amide,151,2849,44,510,0.291390728481514,0.17901017901046717,0.7029133487981235,3.4681938843730964,0.0005239691057825624
5,1199,-0.06050355413181919,,hydroxyl,789,2211,235,809,0.2978453738918912,0.36589778380851834,-0.29687712605903055,-3.445103985795199,0.0005708397435986168
5,378,-0.06150606821004288,,carbonyl,509,2491,226,1314,0.44400785854726127,0.5274989963871829,-0.24858313773897026,-3.434076564632235,0.0005945762252861364
5,1873,-0.13066194050794824,,carbonyl,2008,992,1075,465,0.5353585657372831,0.4687500000005355,0.19168679491650734,3.4339313732518817,0.0005948947898106738
5,378,-0.06150606821004288,,halogen,509,2491,153,572,0.30058939096404597,0.2296266559617705,0.3885039660840556,3.4078229548379704,0.0006548336705352042
5,689,0.09031958136215282,,carbonyl,29,2971,24,1516,0.8275862069024971,0.5102659037362807,0.6976603572678048,3.402295450502725,0.0006682235578596707
5,561,-0.06939947147663067,,sulfonamide,337,2663,23,85,0.06824925816300223,0.03191888847201205,1.0964029519900809,3.373028075873882,0.0007434637138963307
5,1825,-0.0650577224079176,,heteroaromatic_ring,41,2959,18,648,0.43902439025758483,0.21899290300803684,1.0034169751767488,3.3668388674329637,0.0007603510138247671
5,1750,-0.11327293634480422,,halogen,1613,1387,429,296,0.26596404215792563,0.21341023792414318,0.3176018210371905,3.3524360085091005,0.0008010375693225935
5,1199,-0.06050355413181919,,amide,789,2211,177,377,0.22433460076143935,0.17051108095921733,0.3957866566202482,3.3448949796446668,0.0008231373228990702
5,1294,-0.059552886418849524,,ester,30,2970,13,568,0.43333333335222224,0.19124579124606356,1.1800492187768523,3.3386117696165565,0.0008419814978199991
5,591,0.09778804305920862,,amide,279,2721,31,523,0.1111111111142971,0.19220874678456737,-0.7906708964004359,-3.3246970963497353,0.0008851464419850075
5,1294,-0.059552886418849524,,aromatic_ring,30,2970,28,1916,0.9333333333355556,0.6451178451179646,0.5328296964042013,3.288794256624735,0.0010061754577965765
5,794,0.09404891406657276,,halogen,360,2640,62,663,0.1722222222245216,0.2511363636366473,-0.5441996317919393,-3.281020721055192,0.001034321452523912
5,794,0.09404891406657276,,nitro,360,2640,4,123,0.011111111113858025,0.046590909091270234,-2.0680453870776154,-3.136355664326327,0.0017106161459590208
5,794,0.09404891406657276,,hydroxyl,360,2640,99,945,0.2750000000020139,0.35795454545478866,-0.3803447811030992,-3.099697796620016,0.0019371818390967466
5,689,0.09031958136215282,,hydroxyl,29,2971,18,1026,0.6206896551854935,0.34533826994300054,0.8458618805725818,3.097872527809638,0.0019491524870467458
5,561,-0.06939947147663067,,hydroxyl,337,2663,92,952,0.2729970326431069,0.3574915508827047,-0.38902387521174786,-3.0679976354311806,0.0021549832319600615
5,591,0.09778804305920862,,nitro,279,2721,2,125,0.0071684587849205434,0.04593899301762369,-2.679984354536431,-3.0630854459804424,0.002190674985162566
5,1444,0.08668633143834839,,ester,182,2818,51,530,0.28021978022373506,0.1880766501067466,0.5752380486500256,3.0487637820212683,0.0022978508325244285
5,935,-0.06896169156334016,,ester,567,2433,84,497,0.14814814814965055,0.2042745581589789,-0.46346893877500445,-3.0456814304123605,0.002321536668124624
5,837,0.07575029846425532,,aromatic_ring,31,2969,28,1916,0.9032258064547346,0.6453351296734101,0.48503814392592337,2.9909016033422837,0.0027815510558641954
5,1199,-0.06050355413181919,,halogen,789,2211,160,565,0.20278833967147936,0.2555404794214131,-0.33357714260713284,-2.9714872887710473,0.002963611417372114
5,1199,-0.06050355413181919,,nitro,789,2211,19,108,0.024081115337105094,0.048846675712777544,-1.0203581688557186,-2.9660057327030187,0.0030169486588045302
5,1564,0.07303400802660721,,sulfonamide,216,2784,0,108,4.629629629608197e-12,0.03879310344862112,-32.96418436248399,-2.9482589181008843,0.0031956928707548293
5,352,-0.06002613532778076,,sulfonamide,151,2849,12,96,0.07947019868159291,0.03369603369637287,1.2378351670949208,2.9424204761664696,0.0032565741563763684
5,1294,-0.059552886418849524,,hydroxyl,30,2970,18,1026,0.6000000000133333,0.34545454545476584,0.7964666059460074,2.912260038895256,0.0035882378018632366
